screen_name,name,location,created
giogio,Giorgio Giovannini,Italia,2020-11-20
ale99,Ale,"Pesaro, Roma",2020-11-20
MichelaBianconerA,Michela Assisi,Sicilia,2020-11-20
Tevin_archie,uzumaki meliodas,,2020-11-20
FFootballShirts,FFSFootballShirts,"Birmingham, England",2020-11-20
malumpfy,toby gilham,"London, England",2020-11-20
heathertanchuck,Heather Tanchuck,West Los Angeles,2020-11-20
Smithy,Smith,LONDON,2020-11-20
Chegzy_Jay,FC🎶❤️,"Ogun, Nigeria",2020-11-20
gurama_a,Dauda A Gurama,,2020-11-20
ryanleegregory,Ryan Lee Gregory,,2020-11-20
imploremeboss,Blueforever,"Sainte-Suzanne, La Réunion",2020-11-20
_kofiboakye,KB,"Accra, Ghana",2020-11-20
__ablizzy,𓆉,"Massachusetts, USA",2020-11-20
REP_Andres_,Andres,"Houston, TX",2020-11-20
shay_ovoos,Shay_ovoos,,2020-11-20
MadDaniels1,Mad Moody,"Bern, Switzerland",2020-11-20
salifu_halifa,Salifu Halifa,"Greater Accra, Ghana",2020-11-20
shaneneils1,Mr. Skeng🏝⚡,,2020-11-20
Kingfamousgh,FAMOUS GH👾,UEW -Kasoa boy,2020-11-20
jacobeshun2,jacobeshun,western region.Bogoso,2020-11-20
FootyKeyrings,SD,,2020-11-20
AnthonyC_Eri,Anthony Eri🇨🇦,Canada,2020-11-20
deejayrancho,ALUTA RANCHO 🔥🏅🇳🇬,,2020-11-20
tossin_O,Kaniel Outis,Nigeria,2020-11-20
theAsianBlue,The Asian Blue 💙,Opinions Are My Own,2020-11-20
HaydenKing02,Hayden King,,2020-11-20
matTemitope,Adekola Temitope mat,,2020-11-20
bI8des,blades,England,2020-11-20
Chelseaquiin,#EndSARS,In Christ ,2020-11-20
OllieGlanvill,Ollie Glanvill,London,2020-11-20
TheChelseaSpot,The Chelsea Spot,Stamford Bridge,2020-11-20
LondonsFinestS2,London's Finest Show Feed,,2020-11-20
austin4sports,austin4sports,London,2020-11-20
KitWEARHouse,KitWEARhouse,,2020-11-20
BigAppleSoccer,Big Apple Soccer,"ÜT: 40.839589,-73.122026",2020-11-20
iamtobiade,Akinola,Peegyn,2020-11-20
Habiola17750376,Habiola,Nigeria,2020-11-20
ManlikeDesire,Desire Ademiluyi,"Ilorin, Nigeria",2020-11-20
Oshiocee,Jay,,2020-11-20
DB_Fine_Art,Dean Borghi Fine Art,"529 West 20th Street, 6th Floor, New York, NY 10011",2020-11-20
iprecious59,Zuco ⚓️,"Owerri, Nigeria",2020-11-20
Geo_marx1,George_o,"South East,Nigeria",2020-11-20
CFCChronicle,Chelsea Chronicle,"London, England",2020-11-20
Anas_danmallik,Costtrouble,NG,2020-11-20
yoruba_boy10,king_Prime,IBADAN ,2020-11-20
Soccerwriter,Michael Lewis,@soccerwriter,2020-11-20
vw78bay,Rob Williams,,2020-11-20
LondonsFinestQU,London's Finest,,2020-11-20
Sir_kay__,Kay0d3,Canada in Jesus Name,2020-11-20
Werder_RT,Werder RT,Bremen,2020-11-20
ChelseaPuzzles,ChelseaPuzzles,SW6 1HS,2020-11-20
AbiolaMelody,Melody,,2020-11-20
DeadlyStamford,Deadly⭐⭐,Stamford Bridge,2020-11-20
sentry_guy,Seyi,Lagos Nigeria,2020-11-20
AHHBOT,ROBOT LOSC,,2020-11-20
AcquasiB,Havertz Jnr,Aprade,2020-11-20
kolagoke20,Kolade Olashile Olagoke,Ikotun,2020-11-20
Michaelola4527,Michael ola,"Ibadan, Nigeria",2020-11-20
harkhin_khunmi,Oloyede Akinkunmi Simeon,Nigeria,2020-11-20
thekay007,Kay,,2020-11-20
nanaadjei_LY,Bhra LARYEA,"Accra, Ghana",2020-11-20
Ifeoluwa_duth,Ifeoluwa,Nigeria,2020-11-20
ibrahimtune,chelseablood,,2020-11-20
Real_DMacheda,Darlington Macheda™,Mind Your Business,2020-11-20
AlMaskary,✪ محمد المسكري, ,2020-11-20
ojo_ahmed,Anikulapo Coochie 🇦🇶🦍,IYH,2020-11-20
marule00,Luka Markovic,,2020-11-20
aasszznnee,Asznee,,2020-11-20
AylesfordInt,AylesfordInt,"London, England",2020-11-20
Turbo__Timo,Timo,"Lagos, Nigeria",2020-11-20
otee_smlz,NIGERIA BLEEDS #ENDSARS,Stoneville🌿🏔 🌿,2020-11-20
king_slider,Don Dada👑,"Lagos, Nigeria",2020-11-20
Sethakande,Mr seth-skeng shelby,,2020-11-20
RomansEmpirePod,Roman's Empire Pod,"Los Angeles, CA",2020-11-20
stamford_bridge,History of ChelseaFC,London SW6,2020-11-20
benzeema007,#SARSMUSTEND✊✊,"Yenagoa, Nigeria",2020-11-20
fluentmediag,Raul Mateu,,2020-11-20
jamesne60235676,james newton,,2020-11-20
james_candour,LIBERATION,"Lagos, Nigeria",2020-11-20
flyingeze,Flying Eze,,2020-11-20
rebeccawalshol2,rebecca 💙💙💙💙 🎄🎄,"Mayo, Ireland",2020-11-20
LoyalFootballCo,Loyal Football Co.,Australia,2020-11-20
Alhassa83518932,Abdul JNR POGBA💓🙌,"Upper West, Ghana",2020-11-20
hasan01mahmud1,Hasan01Mahmud,"Dhaka,Bangladesh",2020-11-20
TurksonCee,Cee Turkson,"Accra, Ghana",2020-11-20
Papylo9,Papylo,,2020-11-20
highhavertz,ajinkya rahane apologist,,2020-11-20
krisho1980,KRISHAN ODEDRA,,2020-11-20
chivomapius,WelBeast,Everywhere,2020-11-20
CfcEesa,Eesa Hussain,United Kingdom,2020-11-20
kengel_13,Daniel,Nigeria,2020-11-20
Ran95926198,Ran 0532439154,,2020-11-20
johncarley1966,John Carley,Wembley Middlesex. ,2020-11-20
AdekoyaAdeniy16,Adekoya Adeniyi,,2020-11-20
batsflip,Maxime,,2020-11-20
CFCValentine,Valentine Miller,"Harare, Zimbabwe",2020-11-20
AbsoluteChelsea,Absolute Chelsea,,2020-11-20
The_wordsmith10,BENGAZY👑,"Kasoa, Ghana",2020-11-20
YusufJiyah,wambai¹,konoha♌,2020-11-20
ElChapo099,PULISIC’S BOOTS 🔥💙🚀,Ghana,2020-11-20
ilesos17,Keep coming back,"Buenos Aires, Argentina",2020-11-20
skulldesigns_,Skull Designs™️,"Rosario, Argentina",2020-11-20
tb_kits,𝙏𝘽 𝙆𝙞𝙩𝙨,"Rosario, Argentina",2020-11-20
aleditss,𝘼𝙡𝙚𝙙𝙞𝙩𝙨,"Santa Fe, Argentina",2020-11-20
db_piero,Morizan Debi Panhar,Bukittinggi-Indonesia,2020-11-20
GusCamisetas,GUSTAVO PSONKEVICH,Ciudad de Buenos Aires,2020-11-20
DelPIERO,Alessandro De Giorio,Torino,2020-11-20
Biggiem12,Biggie m,,2020-11-20
pAsQuAlE,Pasquale Mari,Milano,2020-11-20
SMLigue1,Sports Mole Ligue 1,,2020-11-20
FedeeVazqueez,Fede,"San Fernando, Argentina",2020-11-20
bibendumboy,ministry of tyres,Parlement des Tyres,2020-11-20
